query,judgment,judgment
1591,-1,12235
1591,0,5722
1591,1,736
1592,-1,9547
1592,0,6406
1592,1,1179
1593,-1,14682
1593,0,7991
1593,1,369
1594,-1,12437
1594,0,6307
1594,1,826
1595,-1,9067
1595,0,5853
1595,1,867
1596,-1,8206
1596,0,5579
1596,1,61
1597,-1,6273
1597,0,5413
1597,1,228
1598,-1,11482
1598,0,6005
1598,1,237
1599,-1,10359
1599,0,5741
1599,1,1779
1600,-1,22317
1600,0,12828
1600,1,3807
1601,-1,10759
1601,0,7356
1601,1,1136
1602,-1,7583
1602,0,4779
1602,1,1603
1603,-1,10056
1603,0,6228
1603,1,1699
1604,0,5708
1604,-1,4333
1604,1,929
1605,-1,6050
1605,1,5511
1605,0,1459
1606,-1,17325
1606,0,10530
1606,1,295
1607,-1,10025
1607,0,7709
1607,1,666
1608,-1,9316
1608,0,7789
1608,1,215
1609,-1,10030
1609,0,8206
1609,1,566
1610,-1,13855
1610,0,6446
1610,1,1024
1661,-1,2720
1661,0,1841
1661,1,1504
1662,-1,4781
1662,1,2768
1662,0,1187
1663,-1,3410
1663,0,2062
1663,1,871
1664,-1,4711
1664,0,2620
1664,1,506
1665,-1,3297
1665,0,2743
1665,1,517
1666,-1,4434
1666,0,2187
1666,1,1010
1667,-1,4130
1667,0,2442
1667,1,520
1668,-1,5854
1668,0,3231
1668,1,741
1669,-1,2908
1669,0,2218
1669,1,520
1670,-1,2747
1670,0,2452
1670,1,776
1671,-1,3003
1671,0,2676
1671,1,232
1672,-1,3938
1672,0,2939
1672,1,411
1673,-1,4756
1673,0,2813
1673,1,811
1675,0,1683
1675,-1,1283
1675,1,674
1676,0,1914
1676,-1,1857
1676,1,338
1677,0,1916
1677,-1,938
1677,1,788
1678,-1,4796
1678,0,2784
1678,1,274
1679,-1,3943
1679,0,2770
1679,1,199
1680,-1,2449
1680,0,1510
1680,1,992
1701,-1,4594
1701,0,4113
1701,1,619
1702,-1,5390
1702,0,5183
1702,1,445
1703,-1,4799
1703,0,3578
1703,1,1188
1704,-1,4372
1704,0,3299
1704,1,1207
1705,-1,5427
1705,0,4064
1705,1,964
1706,-1,5286
1706,0,3991
1706,1,1229
1707,0,4442
1707,-1,4438
1707,1,216
1708,-1,6742
1708,0,5214
1708,1,1463
1709,-1,6061
1709,0,4004
1709,1,1668
1710,-1,7970
1710,0,7373
1710,1,337
1711,-1,5999
1711,0,5728
1711,1,243
1712,-1,6815
1712,0,5323
1712,1,1079
1713,-1,7365
1713,0,6614
1713,1,367
1714,-1,5021
1714,0,4836
1714,1,241
1715,-1,4558
1715,0,4228
1715,1,668
1716,-1,6018
1716,0,5668
1716,1,119
1717,-1,3974
1717,0,3776
1717,1,455
1718,-1,5204
1718,0,3994
1718,1,1614
1719,-1,4891
1719,0,4306
1719,1,413
1720,-1,5146
1720,0,4302
1720,1,349
1721,-1,7076
1721,0,5751
1721,1,1388
1722,-1,5798
1722,0,5333
1722,1,141
1723,-1,4028
1723,0,2575
1723,1,1898
1724,-1,4302
1724,0,4081
1724,1,652
1725,-1,5425
1725,0,4674
1725,1,267
1726,-1,5147
1726,0,4191
1726,1,1526
1727,-1,5469
1727,0,4339
1727,1,108
1728,0,4565
1728,-1,3895
1728,1,380
1729,-1,5120
1729,0,4135
1729,1,650
1730,-1,6793
1730,0,6384
1730,1,197
1731,0,2699
1731,-1,1720
1731,1,1162
1732,-1,3287
1732,0,2253
1732,1,1091
1733,-1,3334
1733,0,2500
1733,1,329
1734,-1,2982
1734,0,1824
1734,1,1299
1735,0,4232
1735,-1,3107
1735,1,750
1736,0,3769
1736,-1,3393
1736,1,353
1737,0,2302
1737,1,2075
1737,-1,1614
1738,-1,3071
1738,0,2887
1738,1,373
1739,-1,3730
1739,0,3658
1739,1,286
1740,-1,6612
1740,0,5180
1740,1,1752
1741,-1,4387
1741,0,3853
1741,1,536
1742,-1,4463
1742,0,4421
1742,1,120
1743,0,6521
1743,-1,6328
1743,1,62
1744,0,3896
1744,-1,2026
1744,1,356
1745,1,2530
1745,-1,2128
1745,0,1740
1746,-1,4316
1746,0,3949
1746,1,257
1747,-1,3440
1747,0,3353
1747,1,354
1748,-1,4223
1748,0,3664
1748,1,475
1749,-1,3226
1749,1,1917
1749,0,1407
1750,0,5065
1750,-1,3195
1750,1,377
